date,time,open,high,low,close,something
2016.07.12,23:00,1.10629,1.10638,1.10623,1.10627,109
2016.07.12,23:05,1.10628,1.10631,1.10619,1.10624,153
2016.07.12,23:10,1.10624,1.10627,1.10619,1.10625,109
2016.07.12,23:15,1.10624,1.10649,1.10624,1.10636,162
2016.07.12,23:20,1.10637,1.10655,1.10627,1.10635,258
2016.07.12,23:25,1.10635,1.10637,1.10624,1.10632,169
2016.07.12,23:30,1.10631,1.10659,1.10626,1.10658,222
2016.07.12,23:35,1.10659,1.10667,1.10644,1.1065,220
2016.07.12,23:40,1.1065,1.1067,1.10641,1.10647,248
2016.07.12,23:45,1.10647,1.1066,1.10619,1.1062,263
2016.07.12,23:50,1.1062,1.10664,1.1061,1.10618,238
2016.07.12,23:55,1.10618,1.10631,1.10582,1.10598,252
2016.07.13,0:00,1.10589,1.10599,1.10567,1.10579,469
2016.07.13,0:05,1.10579,1.10596,1.10565,1.10576,329
2016.07.13,0:10,1.10576,1.10586,1.10547,1.10558,607
2016.07.13,0:15,1.10558,1.10572,1.10534,1.10565,541
2016.07.13,0:20,1.10565,1.10591,1.10549,1.10582,334
2016.07.13,0:25,1.10582,1.10599,1.10552,1.10565,384
2016.07.13,0:30,1.10565,1.10582,1.10552,1.10581,389
2016.07.13,0:35,1.10582,1.10582,1.10558,1.10569,241
2016.07.13,0:40,1.10569,1.10579,1.10549,1.10579,294
2016.07.13,0:45,1.10579,1.10596,1.10567,1.10588,276
2016.07.13,0:50,1.10588,1.10604,1.10576,1.10603,415
2016.07.13,0:55,1.10602,1.1063,1.10572,1.10616,409
2016.07.13,1:00,1.10615,1.10632,1.10572,1.10581,483
2016.07.13,1:05,1.10581,1.10586,1.10572,1.10582,304
2016.07.13,1:10,1.10582,1.10627,1.10572,1.1062,312
2016.07.13,1:15,1.10619,1.10697,1.10617,1.10632,542
2016.07.13,1:20,1.10634,1.10673,1.1063,1.1066,540
2016.07.13,1:25,1.10661,1.10691,1.10639,1.10653,480
2016.07.13,1:30,1.10653,1.10653,1.10623,1.10644,378
2016.07.13,1:35,1.10643,1.10655,1.10614,1.10614,398
2016.07.13,1:40,1.10614,1.10626,1.10609,1.10617,293
2016.07.13,1:45,1.10617,1.10633,1.10603,1.1061,389
2016.07.13,1:50,1.10609,1.10609,1.10571,1.10586,521
2016.07.13,1:55,1.10586,1.10625,1.10585,1.10614,460
2016.07.13,2:00,1.10614,1.10646,1.10612,1.10636,321
